Frame,Predicted Label
332,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
333,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
334,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
335,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
336,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
337,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
338,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
339,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
340,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
341,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
342,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
343,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
344,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
345,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
346,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
347,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
348,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
349,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
350,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
351,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
352,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
353,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
354,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
355,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
356,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
357,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
358,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
359,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
360,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
361,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
362,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
363,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
364,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
365,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
366,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
367,assorted motions
368,assorted motions
369,assorted motions
370,assorted motions
371,assorted motions
372,assorted motions
373,assorted motions
374,assorted motions
375,assorted motions
376,assorted motions
377,assorted motions
378,assorted motions
379,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
380,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
381,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
382,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
383,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
384,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
385,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
386,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
387,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
388,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
389,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
390,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
391,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
392,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
393,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
394,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
395,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
396,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
397,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
